forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-11-08,DAX,1 day,-1.555272,-0.4271487,-0.05132225,0.4675834,1.451602
2023-11-08,DAX,2 day,-2.219358,-0.7578121,-0.05879133,0.6614900,2.188031
2023-11-08,DAX,5 day,-2.764384,-1.1047003,-0.01991388,0.8566320,2.472305
2023-11-08,DAX,6 day,-3.044586,-1.1321905,-0.13644421,0.7553633,2.965151
2023-11-08,DAX,7 day,-3.189899,-1.4653214,-0.29615367,0.9124230,2.798160
2023-11-08,energy,36 hour,NA,NA,NA,NA,NA
2023-11-08,energy,40 hour,NA,NA,NA,NA,NA
2023-11-08,energy,44 hour,NA,NA,NA,NA,NA
2023-11-08,energy,60 hour,NA,NA,NA,NA,NA
2023-11-08,energy,64 hour,NA,NA,NA,NA,NA
2023-11-08,energy,68 hour,NA,NA,NA,NA,NA
2023-11-08,infections,0 week,NA,NA,NA,NA,NA
2023-11-08,infections,1 week,NA,NA,NA,NA,NA
2023-11-08,infections,2 week,NA,NA,NA,NA,NA
2023-11-08,infections,3 week,NA,NA,NA,NA,NA
2023-11-08,infections,4 week,NA,NA,NA,NA,NA
