forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-11-15,DAX,1 day,-2.331667,-0.5050887,0.07506019,0.6624609,2.090959
2023-11-15,DAX,2 day,-3.373215,-0.7203489,0.05418244,0.8904244,2.951886
2023-11-15,DAX,5 day,-4.215005,-0.8491252,0.16263303,1.0873348,3.653144
2023-11-15,DAX,6 day,-4.801292,-0.9212530,0.18083117,1.2661057,3.995950
2023-11-15,DAX,7 day,-4.779444,-0.9916200,0.28032124,1.3739255,4.279067
2023-11-15,energy,36 hour,55.284500,63.685224,67.353501,70.629732,75.327250
2023-11-15,energy,40 hour,55.284500,63.685224,67.353501,70.629732,75.327250
2023-11-15,energy,44 hour,48.209001,56.282732,60.187506,63.517522,68.823250
2023-11-15,energy,60 hour,44.338999,53.343536,57.562000,61.170711,65.847501
2023-11-15,energy,64 hour,44.338999,53.343536,57.562000,61.170711,65.847501
2023-11-15,energy,68 hour,37.263500,45.941044,50.396004,54.058501,59.343501
2023-11-15,infections,0 week,NA,NA,NA,NA,NA
2023-11-15,infections,1 week,NA,NA,NA,NA,NA
2023-11-15,infections,2 week,NA,NA,NA,NA,NA
2023-11-15,infections,3 week,NA,NA,NA,NA,NA
2023-11-15,infections,4 week,NA,NA,NA,NA,NA
