forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2024-01-24,DAX,1 day,-1.6647847223365233,-0.46128234820481817,0.018505000463431287,0.560724932511604,1.6579261814166224
2024-01-24,DAX,2 day,-2.1599208713486115,-0.6584564596864457,0.010310449169548264,0.734946071282699,2.22921993895755
2024-01-24,DAX,5 day,-2.9286048746921076,-0.870749674356402,0.06217972240709635,1.0164008094133143,2.8623508520043166
2024-01-24,DAX,6 day,-3.2484014183972265,-0.9716413915160219,0.10090653407908157,1.1662383808445766,3.293461268587058
2024-01-24,DAX,7 day,-3.5719362951083515,-1.03928000630113,0.11030656482287071,1.3305473468939457,3.590295826731766
2024-01-24,energy,36 hour,58.808070118590265,65.37247609883603,68.93041137258697,71.40301997626284,76.15044882077385
2024-01-24,energy,40 hour,56.60488283377737,62.42954089764419,65.68422891202206,68.30372120909121,73.0629062337333
2024-01-24,energy,44 hour,53.339010379751656,58.49329635246494,61.24118594211289,63.746142755137626,68.59699467194275
2024-01-24,energy,60 hour,50.26675005957544,56.81761671212921,59.908801801994514,62.17838782474199,66.53338186320657
2024-01-24,energy,64 hour,48.486871677083144,54.29799041325798,57.08592824375022,59.502397959890956,63.86914817848664
2024-01-24,energy,68 hour,46.051067490084925,51.1918141351062,53.47295354086853,55.77488777296486,60.23330488372358
2024-01-24,infections,0 week,NA,NA,NA,NA,NA
2024-01-24,infections,1 week,NA,NA,NA,NA,NA
2024-01-24,infections,2 week,NA,NA,NA,NA,NA
2024-01-24,infections,3 week,NA,NA,NA,NA,NA
2024-01-24,infections,4 week,NA,NA,NA,NA,NA
