forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-12-20,DAX,1 day,-2.9952211177098196,-0.6512595758286364,0.09034876781445986,0.8319571114575559,3.1759186533387376
2023-12-20,DAX,2 day,-3.030866039047843,-0.5954291522856113,0.1751211674903229,0.9456714872662569,3.381108374028487
2023-12-20,DAX,5 day,-4.19815360505393,-0.9032841499279496,0.13918290231521058,1.1816499545583705,4.476519409684348
2023-12-20,DAX,6 day,-4.624986100411485,-0.9677885168430145,0.1893158954371555,1.3464203077173253,5.003617891285793
2023-12-20,DAX,7 day,-4.801361798345953,-0.9870826797876456,0.21972091692847487,1.4265245136445952,5.2408036322029
2023-12-20,energy,36 hour,51.8996436051075,60.617383447669624,64.82021829404047,68.0460863799143,75.56067931286977
2023-12-20,energy,40 hour,50.3589429829039,57.27392536172674,61.11612355165213,64.82619944450022,72.00755708774713
2023-12-20,energy,44 hour,48.508823797001156,53.74653374341708,57.66667339994564,61.01316450553942,68.18218474644479
2023-12-20,energy,60 hour,44.5614716333515,51.38858773021184,55.0977341022533,57.79517455569457,64.01852838606393
2023-12-20,energy,64 hour,42.500005386147905,48.400817144268956,51.942639359864955,55.22925637028051,61.56827178594131
2023-12-20,energy,68 hour,40.89813620024517,46.2415505259593,49.00018920815846,52.447440181319706,58.683724444638955
2023-12-20,infections,0 week,NA,NA,NA,NA,NA
2023-12-20,infections,1 week,NA,NA,NA,NA,NA
2023-12-20,infections,2 week,NA,NA,NA,NA,NA
2023-12-20,infections,3 week,NA,NA,NA,NA,NA
2023-12-20,infections,4 week,NA,NA,NA,NA,NA
