forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2024-02-14,DAX,1 day,-1.4769835039915133,-0.4353623864595386,0.01594881587312358,0.487516830664549,1.4566960601830088
2024-02-14,DAX,2 day,-1.7761901849516484,-0.5517773406528399,0.01297539608868803,0.59687863964883,1.8171118246717675
2024-02-14,DAX,5 day,-2.495796186155207,-0.7550064182172406,0.03682100842216466,0.8608273090824712,2.4516268376966797
2024-02-14,DAX,6 day,-2.9280768634235743,-0.9101546223580617,0.04249204128618326,1.024472036889912,2.9581167635501293
2024-02-14,DAX,7 day,-3.065102356133962,-0.9281759488420795,0.05764789289918563,1.1223541759039566,3.0773420438829047
2024-02-14,energy,36 hour,55.65784107758223,62.031507206583676,65.43693865023147,67.83512453668354,72.36013626479905
2024-02-14,energy,40 hour,53.08065241654635,58.7301238645873,61.82550690197475,64.37495513904122,68.92191911360213
2024-02-14,energy,44 hour,50.62704661172609,55.58354803614124,58.179247153622285,60.60956644491321,65.24989733071199
2024-02-14,energy,60 hour,45.751310498763445,52.10646376792952,55.058334920009855,57.24673062657185,61.37698454204252
2024-02-14,energy,64 hour,43.392177140401344,49.02313572860692,51.66495847442691,54.00461653160332,58.15682269351938
2024-02-14,energy,68 hour,42.13901135111889,47.07699991569868,49.21913874161225,51.439667853013134,55.685240926167054
2024-02-14,infections,0 week,NA,NA,NA,NA,NA
2024-02-14,infections,1 week,NA,NA,NA,NA,NA
2024-02-14,infections,2 week,NA,NA,NA,NA,NA
2024-02-14,infections,3 week,NA,NA,NA,NA,NA
2024-02-14,infections,4 week,NA,NA,NA,NA,NA
